Cell	Group	Amp	Shape	Rep	Spikes
29	8	1	2	1	0
29	8	1	3	1	2
29	8	1	4	1	4
29	8	2	1	1	1
29	8	2	2	1	3
29	8	2	3	1	10
29	8	2	4	1	18
29	8	3	1	1	2
29	8	3	2	1	4
29	8	3	3	1	16
29	8	3	4	1	20
29	8	1	1	2	0
29	8	1	2	2	0
29	8	1	3	2	4
29	8	1	4	2	2
29	8	2	1	2	0
29	8	2	2	2	1
29	8	2	3	2	10
29	8	2	4	2	21
29	8	3	1	2	2
29	8	3	2	2	5
29	8	3	3	2	23
29	8	3	4	2	33
29	8	1	1	3	0
29	8	1	2	3	0
29	8	1	3	3	3
29	8	1	4	3	4
29	8	2	1	3	1
29	8	2	2	3	5
29	8	2	3	3	18
29	8	2	4	3	15
29	8	3	1	3	3
29	8	3	2	3	6
29	8	3	3	3	20
29	8	3	4	3	31
29	8	1	1	4	0
29	8	1	2	4	0
29	8	1	3	4	3
29	8	1	4	4	5
29	8	2	1	4	0
29	8	2	2	4	3
29	8	2	3	4	14
29	8	2	4	4	21
29	8	3	1	4	3
29	8	3	2	4	6
29	8	3	3	4	23
29	8	3	4	4	32
29	8	1	1	5	0
29	8	1	2	5	0
29	8	1	3	5	3
29	8	1	4	5	5
29	8	2	1	5	1
29	8	2	2	5	4
29	8	2	3	5	15
29	8	2	4	5	23
29	8	3	1	5	3
29	8	3	2	5	9
29	8	3	3	5	23
29	8	3	4	5	29
30	8	1	1	1	0
30	8	1	2	1	0
30	8	1	3	1	0
30	8	1	4	1	0
30	8	2	1	1	0
30	8	2	2	1	0
30	8	2	3	1	1
30	8	2	4	1	1
30	8	3	1	1	1
30	8	3	2	1	1
30	8	3	3	1	3
30	8	3	4	1	3
30	8	1	1	2	0
30	8	1	2	2	0
30	8	1	3	2	0
30	8	1	4	2	0
30	8	2	1	2	1
30	8	2	2	2	1
30	8	2	3	2	1
30	8	2	4	2	1
30	8	3	1	2	1
30	8	3	2	2	0
30	8	3	3	2	0
30	8	3	4	2	0
30	8	1	1	3	0
30	8	1	2	3	0
30	8	1	3	3	0
30	8	1	4	3	0
30	8	2	1	3	0
30	8	2	2	3	0
30	8	2	3	3	0
30	8	2	4	3	0
30	8	3	1	3	0
30	8	3	2	3	1
30	8	3	3	3	1
30	8	3	4	3	0
30	8	1	1	4	0
30	8	1	2	4	1
30	8	1	3	4	1
30	8	1	4	4	1
30	8	2	1	4	1
30	8	2	2	4	1
30	8	2	3	4	1
30	8	2	4	4	1
30	8	3	1	4	1
30	8	3	2	4	1
30	8	3	3	4	2
30	8	3	4	4	3
30	8	1	1	5	0
